Short description	Description	Caller	Assignment group
cannot post delivery 8058506120	cannot post delivery 9169617231.  about 153 materials were recently moved from usa warehouse to usa warehouse.  we are not able to post this delivery. get error that says this material is not maintained at plant plant_192.  plant_192 is usa alabama plant. (should have nothing to do with this).  see attached screen shots.  i am concerned that some configuration is missing to allow plant_101 to ship consignment fill up orders for this customer.  (tool flo mfg.)  these products are only to be stored in usa temporarily.  once inventory depletes, these will be shipped direct from plant_327/plant_328 plant. we cannot miss service to this customer.  please advise.  	khvzugxm yqfrcjwl	GRP_13
i don't receive any team workflows anymore into my erp inbox.	"von: ydigzqbu xdgjizek 
gesendet: dienstag, 18. oktober 2016 10:07
an: ujxvrlzg pkaegicn
betreff: workflow inbox

hello mr. thetadkg,

i hope you are the right person to turn to:
suddenly i don't reeive any team workflows anymore into my erp inbox.
i am assigned to csd 51111936 and hope you can tackle this problem.
"	ydigzqbu xdgjizek	GRP_13
erp did not pull the customer part number from the ztax item for the taps item 	"hello it-team,_x000D_
_x000D_
please help to check the following issue â€“ erp did not pull the customer part number from the ztax item for the taps item â€“ although it was shown on the delivery note (please see attached) we were not able to print the label for item 22:_x000D_
_x000D_
"	bswlorek yhdrlgbs	GRP_13
item on sales order not pulling through to picking slip	"_x000D_
_x000D_
received from: htnvbwxs.gwfrzuex@gmail.com_x000D_
_x000D_
good day._x000D_
_x000D_
please help with the following:_x000D_
_x000D_
we have an issue on the below sales order:_x000D_
_x000D_
[cid:image001.png@01d2284d.f0e9c250]_x000D_
_x000D_
the first line item is not pulling through to the picking slip:_x000D_
_x000D_
[cid:image002.png@01d2284d.f0e9c250]_x000D_
_x000D_
please assist._x000D_
_x000D_
"	htnvbwxs gwfrzuex	GRP_13
invoicing error	invoicing error	yhmwxsqj ugnthxky	GRP_13
so#36131539 / condition type	"_x000D_
_x000D_
received from: qgvbalix.smehqkyj@gmail.com_x000D_
_x000D_
hello it team,_x000D_
_x000D_
we are not able to change the condition type for pos. 20, 50 and 60 in so#36131539._x000D_
please check and advise me._x000D_
_x000D_
"	qgvbalix smehqkyj	GRP_13
erp inbox, ich bin nicht im workcenter nr. 51111937 = pe_emea_fu3 = aerospace gruppe eingetragen	"workflow meiner gruppe fÃ¼r mich nicht sichtbar , nicht im workcenter nr. 51111937 = pe_emea_fu3 = aerospace gruppe eingetragen

"	xsnrlygw nmqyraec	GRP_13
pricing condition issue in oa	"_x000D_
_x000D_
received from: rayhtukumujar.br2@company.com_x000D_
_x000D_
hello,_x000D_
_x000D_
in the recent past, we are facing an issue of pricing condition not getting changed while booking the order._x000D_
_x000D_
though we override the pricing condition with znr, the pricing condition remains as zlp1 only._x000D_
_x000D_
for example, in oa 36131265, the price was over written with znr condition with a nett price of rs. 5726.54.  but still pricing condition is shown as zlp1 with standard discount._x000D_
_x000D_
what we have observed is whenever there are sub delivery items created due to non-availability of stock, this issue crops up.  that too, after the challan is created, it becomes too difficult to make any changes._x000D_
_x000D_
we request you to look into this immediately, assign sev2 ticket and resolve the same._x000D_
_x000D_
await your feedback._x000D_
_x000D_
à²•à³ƒà²¤à²œà³à²žà²¤à³†à²—à²³à³  / with "	fgdsvija qvixmubh	GRP_13
ultramdntyet wrongful inwarehouse_tool, so# 24897522	"_x000D_
_x000D_
received from: vflagort.xyotrhlf@gmail.com_x000D_
_x000D_
good morning,_x000D_
_x000D_
i just sent a request but found more data. so i received the attached email asking to look into the issue. when i look at the inwarehouse_tool (0159274337) referenced in the email, i saw the sample line was charged at cost when it shouldn't have been. when i go into the order, step on the sample line, go to document flow, i see a completely different inwarehouse_tool number than what is referenced. the inwarehouse_tool highlight below is for no cost, as it should be._x000D_
[cid:image001.png@01d22471.b60d3930]_x000D_
_x000D_
when i look at the document flow for the entire order, i see both inwarehouse_tools._x000D_
[cid:image002.png@01d22472.10904e10]_x000D_
_x000D_
please help me understand why the customer was inwarehouse_toold twice for the sample, and why the second inwarehouse_tool is at cost when it should not be. let me know what i need to do on my end to help with this, please._x000D_
_x000D_
for record, the inwarehouse_tool sent on 9/19 is correct._x000D_
_x000D_
best "	lhyrskmn zbovukqm	GRP_13
wrongful inwarehouse_tool	"_x000D_
_x000D_
received from: vflagort.xyotrhlf@gmail.com_x000D_
_x000D_
good morning,_x000D_
_x000D_
our customer, ultramdntyet, was inwarehouse_toold for a sample line that was entered as a no charge sample in erp. i will be issuing a credit to the customer for the amount charged, but can you tell me why it was inwarehouse_toold to begin with?_x000D_
_x000D_
[cid:image001.png@01d2246f.b6969f60]_x000D_
_x000D_
best "	lhyrskmn zbovukqm	GRP_13
johthryu's erp inbox is not updating since 6th october.	johthryu's erp inbox is not updating since 6th october.	bzxljkoy rvoiqthl	GRP_13
erp changing order qty issue	please look at sale order 36112082 csr zektaqof cgxlqtiz released order from workflow and the qty went from 1pc to 12,047,279pcs showing csr changed the qty csr did not change qty please review possible issue maybe wf batch issue	zektaqof cgxlqtiz	GRP_13
unable to see workflow in erp SID_34	unable to see workflow in erp SID_34	obvjhlsa jxnlwspq	GRP_13
job Job_2881 failed in job_scheduler at: 10/06/2016 18:06:00  	"received from: monitoring_tool@company.com_x000D_
_x000D_
job Job_2881 failed in job_scheduler at: 10/06/2016 18:06:00"	bpctwhsn kzqsbmtp	GRP_13
sales order 36112960 generated a 10/13 delivery date despite the order being markhtyed for 2nd day air.why?	"nibaotpy vmxathog  


"	nibaotpy vmxathog	GRP_13
update inwarehouse_tool documents from list for sales org 12032, 12035 and 12036	"with the germany office move the main inwarehouse_tool printer fd37v got temporarily totally deleted by accident from erp. a big bulk of inwarehouse_tools was already reissued, but there are billing documents dated august 26 - 29, 2016 that do not have any output yet at all. - see lists attached._x000D_
_x000D_
if an update is done on the billing via vf02, the correct output type gets automatically added. therefore we need to have a mass update done (just go to change mode and save), so that the missing printouts get added and issued to the appropriate printer. (billings with existing output might be amongst the list, these are good and no action is required.)_x000D_
_x000D_
*************_x000D_
important: *_x000D_
*************_x000D_
if the mass update is done, please don't do it any any regular billing job times and note the issued documents from erp spool. the list of billings attached might also have documents with output assigned to other printers than fd37v. these billings are correct._x000D_
accounting department, however, would need to have a list of all billings where the output now would get generated, as the customer might get reminders or dunnings for the same. we need to clearly trace these billing documents with output only now generated for audit reasons. we need to get the print outs as soon as possible. please help to support this request as soon as possible as some customers get annoyed with wrong dunnings._x000D_
_x000D_
if you have questions, don't hesitate to contact me. _x000D_
"	mynfoicj riuvxdas	GRP_13
quotes in workflow 	"from: wjslkzfr jxlbzwrp _x000D_
sent: monday, october 03, 2016 7:50 pm_x000D_
to: nwfodmhc exurcwkm_x000D_
subject: re: quotes in workflow _x000D_
_x000D_
hi , _x000D_
_x000D_
i have 2 items in workflow that i am unable to save out. it appears the quote was deleted._x000D_
3116211904 lines 110 and 120_x000D_
please help me get these saved out._x000D_
_x000D_
"	wjslkzfr jxlbzwrp	GRP_13
a user was able to add a zj partner in SID_34 and they don't have security to do so.  please advise how this can be fixed.	"someone in the service center was able to successfully add a zj partner to an existing customer master account in SID_34._x000D_
we set it up that only the 9 users assigned to the sd:cust_mast_partner_func_zj role would have add/edit/delete access to this partner function._x000D_
here is a summary of what happened per lillanna:_x000D_
he (ujxvrlzg pkaegicn) was using SID_34 ecc. what is strange is that the system gave him a warning that he is not allowed to add zj partner function. he could not even save changes until he cleared the zj field. but it seems the system added the zj partner function anyway when he saved the account.  (the account was 81030623 and he added zj partner of 81907354.)_x000D_
_x000D_
"	nkthumgf mwgdenbs	GRP_13
sales office mw01 is not defined for sales area 1409 0sartlgeo lhqksbdx0	"when we opened new order  35093500 we got communicate tahat order is incomplete._x000D_
sale office is not determinated. when we try enter right sales office mw01  - i can't add the chanhes_x000D_
print screen in attached"	ylitqvaj ljxdfhus	GRP_13
unable to post billing to account - billed quantity 0	"unable to post billing to account - billed quantity 0_x000D_
_x000D_
1325 ic5314 i 27.09.2016 ziv vvsallz 28.09.2016 ic5314 0159216101_x000D_
1325 ic5314 i 29.09.2016 ziv oprbatch 29.09.2016 ic5314 0159225544_x000D_
"	lckagtry xcrmzgli	GRP_13
unable to inwarehouse_tool	"_x000D_
_x000D_
received from: nuhfwplj.ojcwxser@gmail.com_x000D_
_x000D_
i am unable to force the inwarehouse_tool on the below, also.  this too is consigned material and needs to inwarehouse_tool before the end of today._x000D_
please help._x000D_
_x000D_
[cid:image001.png@01SID_35b32.40369391]_x000D_
_x000D_
"	nuhfwplj ojcwxser	GRP_13
end of month billing	"_x000D_
_x000D_
received from: nuhfwplj.ojcwxser@gmail.com_x000D_
_x000D_
good afternoon,_x000D_
_x000D_
i am unable to force the billing for the below.  this is consigned material and needs to inwarehouse_tool before the end of today._x000D_
please help._x000D_
_x000D_
[cid:image001.png@01SID_35b31.6e02a420]_x000D_
_x000D_
"	nuhfwplj ojcwxser	GRP_13
rma #6001504109	"rma #7112615210_x000D_
_x000D_
workflow error rma needs to be processed before end of today"	asxmeruj drqufvgj	GRP_13
abap report zsd_price_field_update update for rqfhiong zkwfqagb fields not working for me.	please note that i am receiving an error message when trying to update rqfhiong zkwfqagb fields when using the zsd_price_field_update abap programdnty.  please see screenshots of error message.  i have also attached the uacyltoe hxgaycze file that i was uploading.  i am able to change the material pricing group through transaction mm02.  therefore, i don't think that it is a security problem.	htsnaodb adjtmlzn	GRP_13
please create an rma# for the nov-tx return.  	please see attachments.	iytebhvd coerxklt	GRP_13
hello  please urgently fix!  mwstã€€errorã€‚ã€‚ã€‚  mm7218674  best regards.	"hello_x000D_
_x000D_
please urgently fix!_x000D_
_x000D_
mwstã€€errorã€‚ã€‚ã€‚_x000D_
_x000D_
mm7218674_x000D_
_x000D_
best "	uxndyfrs vahxnfgl	GRP_13
"""po not created"""	"_x000D_
_x000D_
received from: vhlepcta.lqbgcxpt@gmail.com_x000D_
_x000D_
hello team,_x000D_
could you please check the error and help us? we cannot create the inwarehouse_tool for this delivery for 3 months because of this error and it cannot be solved._x000D_
_x000D_
your urgent support is needed._x000D_
"	vhlepcta lqbgcxpt	GRP_13
can you please help tami receive in the rma below.  details of the issue are below this screen shot.  i'm not sure how t	can you please help tami receive in the rma below.  details of the issue are below this screen shot.  i'm not sure how to help.	nuhfwplj ojcwxser	GRP_13
please remove quote from workflow	"_x000D_
_x000D_
received from: lwgytuxq.qspdztiw@gmail.com_x000D_
_x000D_
hello,_x000D_
_x000D_
please clear quote 3116211904 from my workflow.  this quote no longer exists and should not be showing up in my workflow.  see attached screen shot._x000D_
_x000D_
"	lwgytuxq qspdztiw	GRP_13
acct 81910520 was set up to get one monthly inwarehouse_tool but they are getting multiple inwarehouse_tools. 	"
SID_34 - account 81910520 - smhdyhti tool was set up as zm combined monthly billing.  for july & august they received multiple inwarehouse_tools.  see attached. "	jrzpcesm oznigwvj	GRP_13
open order book problem (( back order )) - access	"we are having a problem back order report paramdntyeter in access. _x000D_
((open order book))"	jevckify sbnohwiv	GRP_13
zlz agreements  4111244546 +  4111337261 donÂ´t create a planning demand 	"_x000D_
_x000D_
received from: qbewrpfu.lwibmxzo@gmail.com_x000D_
_x000D_
hello help,_x000D_
_x000D_
_x000D_
_x000D_
the zlz agreement 4111244546 is shown in md04 as demand, but the is no po for the production plant._x000D_
_x000D_
the zlz agreement 4111337261 is not shown as demand in md04._x000D_
_x000D_
maybe it is a problem with the material type?_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
mit freundlichen grÃ¼ÃŸen / best "	qbewrpfu lwibmxzo	GRP_13
org 1314 - inwarehouse_tool 0159108935 issue	"the inwarehouse_tool printed output is not complete ie. item no, quantity, unit price and total amount are dierppear.  _x000D_
attached delviery note and inwarehouse_tool are for your information._x000D_
please help fix this issue and advise back to us aerp., "	tqfnalpj qyoscnge	GRP_13
org 1314 : inwarehouse_tool# 0159108934  issue	refer to this inwarehouse_tool no. 0159108934 , the printed inwarehouse_tool is not complete ie. the line item no 60 , quanttiy, unit price and tootal amount are dierppear. also, the total inwarehouse_tool amount is not correct.   the attached are related delivery note and inwarehouse_tool as for your information.  please help fix this issue and inform us aerp., 	tqfnalpj qyoscnge	GRP_13
metal cutting technology p/l (company zqt 2005137185	"hi team,_x000D_
_x000D_
i have created the attached quote, however, it is not up showing correctly (see attached). can you please fix this as soon as possible? "	uisewznr ewtmkphs	GRP_13
"custom quote.  at saving receive error message of ""enter rate/usd rate type m for 9/27 in the system settings"	"name:lagqcompanyo xqtldrcs
language:
browser:microsoft internet explorer
email:lagqcompanyo.xqtldrcs@gmail.com
customer number:
telephone:
summary:custom quote.  at saving receive error message of ""enter rate/usd rate type m for 9/27 in the system settings
=====see attachment ===================="	lagqkmto xqtldrcs	GRP_13
inwarehouse_tools are not automatically being sent to helical when referenced to contracts	customer 81371659, sales org 1204, have inwarehouse_tools automatically set to be emailed, this works for standard orders, zkb and zke's order types, but when an order is referenced to a contract, they are not being transmitted, the partners in the order is correct, but on the inwarehouse_tool it is the same as the sold to party.  please see attached for examples.	vcedphrq yajdpgnz	GRP_13
hello, i am have problems running open sales backorder report data will not download past 9/22.	hello, i am have problems running open sales backorder report data will not download past 9/22.	bmixaeon mtaguhed	GRP_13
urgent // price update error 	"_x000D_
_x000D_
received from: uarnkqps.gufcjxma@gmail.com_x000D_
_x000D_
hi,_x000D_
_x000D_
i have to divide the quantity of the item due to partial shipment and currency issue. but while dividing item quantity and re-writing zno for currency update process, zno price is deleted._x000D_
i try to enter the price again with zno however the system can't allow it and bring the new price with zcnp._x000D_
_x000D_
so could you help me please?_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
[cid:image002.jpg@01SID_358a8.eb5a4620]_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
saygÄ±larÄ±mÄ±zla / best "	uarnkqps gufcjxma	GRP_13
final inwarehouse_tool for project is not working correctly	"dear it team,_x000D_
_x000D_
i have again an issue with a final inwarehouse_tool. i have the following erp order: 34827963._x000D_
we had a down payment of all items, but a final shipment of item 10,20,50,60,70._x000D_
items 30 and 40 have not been shipped, hence we are not allowed to do an final inwarehouse_tool for this. _x000D_
so i tried to do a final inwarehouse_tool for items 10,20,50,60,70, but it did not work. with inwarehouse_tool 0159198781 the down payment amount got deducted twice. _x000D_
so i cancelled all inwarehouse_tools, incl. down payment inwarehouse_tool and separated them, one inwarehouse_tool for item 10,20,50,60,70 and another inwarehouse_tool for item 30,40._x000D_
after that i tried again to inwarehouse_tool it. but still the wrong amunt was shown. i need to have an inwarehouse_tool for item 10,20,50,60,70 with amount 350.740 minus 105.222 down paymant. can you please have a look and help me? _x000D_
this is not a single issue, we had that already several times. "	fmqubnvs kcxpeyiv	GRP_13
sales doc 35900112/000010 still shows as open in the backorder database.	"sales doc 35900112/000010 still shows as open in the backorder database.  sales doc has been pgid yet it still shows as open in the backorder database.  rpbdvgoy hxasnzjc suggested i enter a ticket.  according to aobrelcs suchytro this sales doc still looks open._x000D_
"	xkmvpaei fizqoprk	GRP_13
receiving error with open order book nightly report	receiving error with open order book nightly report - please see attached screen shot	omufjcxr ahypftjx	GRP_13
unable to process in ecs 	"

received from: rxoynvgi.ntgdsehl@gmail.com

hi it team

kindly please assist as we unable to process dn 9169308075 in ecs.
ecs system prompted below message.

hi sujitra

kindly note that we unable to process dn 9169308075 in ecs and most probably this order will hold for today shipping, pending for solution.

[cid:image001.png@01SID_3580e.9c668960]

hydstheud mddwwyleh
operation supervisor
company distribution services of asia pte ltd
( asia regional distribution centre)

email : rxoynvgi.ntgdsehl@gmail.com<mailto:rxoynvgi.ntgdsehl@gmail.com>"	rxoynvgi ntgdsehl	GRP_13
the unit prices of order #35990512 , item ! ~ 8 cannot be revised	"we need to revise the pirces for order#35990512 to zno, 7800 for all the items._x000D_
i changed for item #9 ~ #11, but cannot change for #1 ~ #8, please check and help, "	tfazwrdv upwonzvd	GRP_13
9047883335 - sales inwarehouse_tool rejected as the banking details are not printed	the footer with banking details has not printed on inwarehouse_tool 0158994446, the customer has rejected this inwarehouse_tool until the footer details are corrected.	lmwfdnri joplxizv	GRP_13
blocked inwarehouse_tool for 5205 9048054513	"blocked inwarehouse_tool in our system. reason for blocking ""document 0159165624 has been saved (foreign trade data incomplete) "". (same as ticket_no1551982). _x000D_
after first analysis, infos were available in mm 03 for  concerned materials. we know how to fix the issue, but before completing the document, please provide information or make further analysis in order to avoid this issue in the futur."	ahmgtlyf ofgxcrys	GRP_13
not able to create dc	"_x000D_
_x000D_
received from: rgtarthi.erjgypa@company.com_x000D_
_x000D_
hello help,_x000D_
_x000D_
we are unable to create delivery challan due to below error._x000D_
_x000D_
[cid:image004.png@01SID_354e4.45837db0]_x000D_
_x000D_
[cid:image001.png@01SID_354e2.2aad98b0]_x000D_
_x000D_
"	xqoljzbh aydcwkxt	GRP_13
workflow	"

received from: nealxjbc.owjduxai@gmail.com

i used to be the supervisor over usa.  in july this was changed to efqhmwpj tgeynlvr being the supervisor over that location.  credit memo's and returns are still coming to my workflow and i have to forward to them.  today i was informed that nuhfwplj ojcwxser is now the team lead over usa/ usa/usa and these should be sent to her.  can you update erp so these get routed properly?

nealxjbc owjduxai
customer service supervisor
nealxjbc.owjduxai@gmail.com<mailto:nealxjbc.owjduxai@gmail.com>


"	nealxjbc owjduxai	GRP_13
erp csd cockpit application: condition update not possible	"erp csd cockpit application: condition update not possible_x000D_
not possible to built up an price record  (21.09.16 gt 11:21)_x000D_
quote 3116246099 line item 10"	ivcygqta qiovrcal	GRP_13
mm#3342477 | mm#5270584 | mm#5270486 | mm#4166346	"hi_x000D_
_x000D_
please see below pricing team comments and advise on above mentioned materials ;-_x000D_
_x000D_
 _x000D_
_x000D_
 _x000D_
_x000D_
 _x000D_
_x000D_
"	kfhnmtgi boxmklnp	GRP_13
tax not printing on customer inwarehouse_tools	please review the attached inwarehouse_tools, both of which are the same. the one without the tax is the one the customer received.  the second one with the tax is one that i sent to myself and is billing tax. i spoke with cegtcily in the tax dept. and she is stating that she has a ticket in for this issue where tax is not printing but is calculating in erp.  please look into this issues as quickly as possible as customers are now questioning the billing difference and it is becoming an issue for our customers. 	slkxgzdj wxpytevu	GRP_13
canadian customer inwarehouse_tools are not printing the tax amount on the inwarehouse_tools	"

received from: gkzedilm.tkpfumeb@gmail.com

user gkzedilm tkpfumeb [jesjnlyenm] can't log into his aplications - engineering_tool and netweaver.
netweaver reports ""too many incorrect logins"" and engineering_engineering_tools ""unable to contact server"".
i suspect the user is blocked from these accounts due to too many incorrect logins.
the user did not recently changed password.
"	bixvmnar glakoprc	GRP_13
wrong printing on awa voucher inwarehouse_tools 	hello, when awa 81408476 - order with voucher - the printing says the discount is 130% - which is wrong.  please check and correct this. example in attachment. 	frtwncbv yvxrspqo	GRP_13
please check order# 35042103 - voucher v-00011418	"the order header is showing this voucher code, and the line item details are also showing this voucher code under ""additional data b"". nevertheless, table vbap-zzcmpgn_id is empty._x000D_
the printed acknowledgement and inwarehouse_tool are not referring this voucher code, but pricing has considered the voucher discount._x000D_
something is not correct...._x000D_
_x000D_
if voucher is not relevant for this customer/ship-to, then it should not consider voucher discount."	hbmwlprq ilfvyodx	GRP_13
wrong unit price on inwarehouse_tool 	"_x000D_
_x000D_
received from: ovhtgsxd.dcqhnrmy@gmail.com_x000D_
_x000D_
it help,_x000D_
_x000D_
we have one shipment from apac to indonesia as attachment.  the unit price is 67.89 on the inwarehouse_tool from erp, but it should be 0.04/pcs._x000D_
_x000D_
can you check what caused the wrong price on inwarehouse_tool?_x000D_
_x000D_
"	ovhtgsxd dcqhnrmy	GRP_13
quotation printing incorrect voucher discount	"see attached example - 3116245007.  discount applied was 57.5%, but quote copy is showing 115%.  not sure where the pdf is picking up the additional 57.5%._x000D_
_x000D_
also see example 3116220390.  this will show the print on 8/29 was correct, and what was printed today is not.  did something move over the weekend that can be backed out??_x000D_
"	pfzxecbo ptygkvzl	GRP_13
t&d inwarehouse_tool 0512678028 - pricing error	"hi,_x000D_
_x000D_
please refer below mail from branch  & attached t&d inwarehouse_tool of plant_61.  the inwarehouse_tool has picked the total basic value as rs.2,40,991.50 & the excise duty has got charged & paid accordingly, instead of correct total basic value of rs.1,40,000.00, (70,000 x 2) as per previous inwarehouse_tool#0512508978/07.04.16.  kindly find & fix the problem for future inwarehouse_tool to capture the correct total basic value to avoid paying higher excise duty. _x000D_
_x000D_
_x000D_
"	iwqfelcu gsubfiml	GRP_13
vfx3 billing errors	please see the attached screen print for vfx3 billing errors for 0612893276 and 0612893277, both of which state: foreign trade data incomplete.  the billing document will not create.	slkxgzdj wxpytevu	GRP_13
job Job_2883 failed in job_scheduler at: 09/17/2016 23:11:00  	"received from: monitoring_tool@company.com_x000D_
_x000D_
job Job_2883 failed in job_scheduler at: 09/17/2016 23:11:00"	bpctwhsn kzqsbmtp	GRP_13
foreign trade data missing in the inwarehouse_tool	inwarehouse_tool 0159130578 was blocked in the system for foreign data were missing in item 20 and 30. after first analysis, infos were available in mm 03 for both concerned materials- inwarehouse_tool is now completed but could you check what happened in order to avoid futur issues (was material correctly entered in mm03, any steps missing ? was there a erp incident that leads to this issue ?...)	ahmgtlyf ofgxcrys	GRP_13
question	"hello bobhyb,
sorry, i don't know more than this.
i am copying this to help team, if they could help you further.


"	geylvotd msadrzkj	GRP_13
@5c\qerror@ 35019921rder# 35019921, material 7393495  	"@5c\qerror@ 3501992sartlgeo lhqksbdx0 ""create delivery"" not allowed (sys. status exls, object vb0035019921000010) @35\qlong text exists@ need to  create a delivery_x000D_
"	schyepwd ykatfphc	GRP_13
pricing error on order number 35022202.	"we are unable to change the price on the order number 35022202. can you please help us fix this issue before the inwarehouse_tool is created tonight. _x000D_
"	ejfgzqyk wpbujczy	GRP_13
erp issue for invoicing, insufficient stock mm#2247736 even though there is inventory available.	customer service at usa, issues sales orders for acct #81254672. consignment inventory shows stock but there may be a batch block that prevents them from allocating inventrtgoy for billing purposes. there is something odd with mm2247736, mb58, erp. this is maghyuigie ghjkzalez, ph . 	houcdelq wnypackq	GRP_13
background reports in erp are not running	"hello,_x000D_
_x000D_
my nightly erp reports are no longer running each day. i have reset them and they still will not run._x000D_
_x000D_
"	omufjcxr ahypftjx	GRP_13
auto output for inwarehouse_tools	auto output for inwarehouse_tools.  siemens cm 81873983 is set up to auto output inwarehouse_tools to service@company.com however these are not being received in email to trigger on-line invoicing on customer website.	DEsowkrH sciejzNE	GRP_13
"impossible to remove ""country of origin"" data on inwarehouse_tools for export customer 70202027"	"we've made a uacyltoe hxgaycze with xawlkiey demjqrfl in SID_1 - inwarehouse_tool number 0157138137_x000D_
there is also inwarehouse_tool 0159117484 and proforma 0159122287 in SID_34 as examples (please note that english sentences are automatic ones and french are manual ones)._x000D_
on customer master level - classification i checked ""no"" on print export info, but it doesn't work._x000D_
_x000D_
"	hadbkvwt touedfyr	GRP_13
